ID,y
1,82.504364
2,97.50162
3,82.75862
4,76.96174
5,112.79457
8,91.44924
10,100.22134
11,93.66043
12,117.24372
14,95.85981
15,115.77232
16,105.65158
17,100.7846
19,90.92511
20,100.609505
21,105.2645
22,118.32418
23,100.85788
26,95.69872
28,97.133644
29,100.85788
33,100.85788
35,94.595215
41,100.7846
42,94.65135
43,113.279655
45,102.7362
46,100.97016
51,94.37481
53,84.73208
55,109.26087
56,105.277885
57,109.816246
58,98.97419
59,103.716805
63,105.68665
64,94.3861
65,100.907906
69,97.59323
71,99.183784
72,104.7371
73,96.72213
76,104.60106
77,96.14668
78,116.01723
82,94.397224
83,100.907906
84,100.337524
85,106.86317
87,110.499344
88,100.7846
89,110.690125
91,97.655174
93,102.25943
94,104.11664
95,100.14472
96,111.52002
97,95.686066
98,109.79084
99,98.96061
101,105.57916
103,110.690125
104,93.51163
105,110.191765
110,96.78316
111,102.49594
113,105.15375
114,97.20583
115,111.02719
117,110.690125
120,95.82582
121,113.42351
122,93.984314
123,105.73509
126,108.61848
132,109.1623
135,111.64638
137,102.60259
138,95.13057
140,103.98274
142,108.92656
144,110.76666
148,91.75775
149,113.34382
155,102.14706
156,111.91318
157,95.686066
162,114.94318
163,96.04138
167,94.59383
172,113.279655
179,107.15859
180,94.51835
181,108.35315
182,97.06434
183,110.690125
185,110.690125
187,107.24074
188,92.87537
189,96.08019
191,93.320984
192,103.5783
193,93.766365
194,107.92426
195,94.62495
196,99.39264
198,109.60783
199,111.19354
201,100.33975
204,95.137695
205,106.0005
206,105.952644
210,96.74589
211,105.57916
216,111.91956
219,117.24372
220,93.42692
221,109.335365
226,108.35315
227,93.000046
228,110.17879
230,109.70928
231,95.686066
235,118.32418
236,99.12846
238,112.020485
242,103.97115
243,94.11887
244,79.86334
245,110.351746
247,117.65979
248,94.86775
249,91.42235
250,113.70861
251,99.12846
253,118.32418
254,95.64146
256,95.29341
257,91.98378
258,109.13155
259,98.34255
262,91.52333
266,101.43778
267,113.1775
272,104.07988
273,110.690125
275,94.33065
276,108.386314
279,92.65166
280,100.907906
283,92.82328
285,109.86184
288,110.690125
289,109.74184
290,100.88186
291,95.28437
292,105.20867
293,105.78248
296,93.84598
297,105.587006
298,116.09645
299,93.97702
304,91.73596
305,88.2218
306,94.44181
307,109.22496
311,103.88492
313,109.2316
314,92.45706
316,109.59263
324,111.58118
327,99.20651
329,92.84618
330,109.45334
337,97.647
338,94.94312
339,98.55644
340,93.56327
343,93.2998
345,115.77232
346,96.66152
347,112.5064
349,110.345985
350,94.51425
352,103.659546
353,92.52799
354,91.56378
357,95.6615
358,107.65259
362,107.986755
364,104.161476
365,101.88347
366,101.80568
367,106.77316
368,93.87815
370,80.84688
373,98.5034
377,93.537895
378,107.50638
382,104.60106
384,110.26556
390,96.74228
392,112.06678
393,113.319725
395,94.54054
396,96.685814
399,80.37381
406,109.2316
408,109.2316
409,95.26755
410,80.41489
412,112.73393
